阿,ā:Afghanistan,HSK level 2,0
阿拉伯语,ālābóyǔ:Arabic language,HSK level 2,0
阿姨,āyí:auntie,HSK level 2,0
挨,āi:to be near,HSK level 2,0
哎,āi:an interjection,HSK level 2,0
哎呀,āiyā:Damn,HSK level 2,0
爱好,àihào:interest,HSK level 2,0
安全,ānquán:safety,HSK level 2,0
安慰,ānwèi:to comfort,HSK level 2,0
安心,ānxīn:feel at ease,HSK level 2,0
按,àn:to press,HSK level 2,0
暗,àn:dark,HSK level 2,0
岸,àn:bank,HSK level 2,0
按照,ànzhào:to follow,HSK level 2,0
拔,bá:pull up,HSK level 2,0
白,bái:white,HSK level 2,0
白菜,báicài:Chinese cabbage,HSK level 2,0
白天,báitiān:daytime,HSK level 2,0
班长,bānzhǎng:monitor,HSK level 2,0
板,bǎn:board,HSK level 2,0
半导体,bàndǎotǐ:semiconductor,HSK level 2,0
办公,bàngōng:work,HSK level 2,0
半夜,bànyè:midnight,HSK level 2,0
帮忙,bāngmáng:help,HSK level 2,0
榜样,bǎngyàng:example,HSK level 2,0
傍晚,bàngwǎn:in the evening,HSK level 2,0
包,bāo:package,HSK level 2,0
包子,bāozi:steamed stuffed bun,HSK level 2,0
薄,báo:to approach,HSK level 2,0
保,bǎo:to defend,HSK level 2,0
保持,bǎochí:to maintain,HSK level 2,0
保存,bǎocún:to conserve,HSK level 2,0
宝贵,bǎoguì:valuable,HSK level 2,0
保护,bǎohù:protection,HSK level 2,0
保留,bǎoliú:preservation,HSK level 2,0
保卫,bǎowèi:defense,HSK level 2,0
保证,bǎozhèng:guarantee,HSK level 2,0
报到,bàodào:to report in,HSK level 2,0
报道,bàodào:report,HSK level 2,0
报告,bàogào:report,HSK level 2,0
报名,bàomíng:enrollment,HSK level 2,0
抱歉,bàoqiàn:be sorry,HSK level 2,0
报纸,bàozhǐ:newspaper,HSK level 2,0
背,bēi:carry on ones back,HSK level 2,0
碑,bēi:a monument,HSK level 2,0
悲痛,bēitòng:grieved,HSK level 2,0
北部,běibù:northern part,HSK level 2,0
北方,běifāng:north,HSK level 2,0
北面,běimiàn:northern side,HSK level 2,0
背,bèi:carry on ones back,HSK level 2,0
背后,bèihòu:backdrop,HSK level 2,0
被子,bèizi:quilt,HSK level 2,0
本,běn:this,HSK level 2,0
本,běn:this,HSK level 2,0
本来,běnlái:original,HSK level 2,0
本领,běnlǐng:skill,HSK level 2,0
本事,běnshi:ability,HSK level 2,0
本质,běnzhì:essence,HSK level 2,0
笨,bèn:stupid,HSK level 2,0
逼,bī:to force,HSK level 2,0
鼻子,bízi:nose,HSK level 2,0
笔记,bǐjì:note,HSK level 2,0
比例,bǐlì:proportion,HSK level 2,0
比如,bǐrú:for example,HSK level 2,0
闭,bì:stop up,HSK level 2,0
避免,bìmiǎn:to avoid,HSK level 2,0
毕业,bìyè:graduation,HSK level 2,0
编,biān:weave,HSK level 2,0
边_边_,biān_biān_:,HSK level 2,0
扁,biǎn:,HSK level 2,0
便,biàn:,HSK level 2,0
遍,biàn:a time,HSK level 2,0
便条,biàntiáo:informal note,HSK level 2,0
标点,biāodiǎn:punctuation,HSK level 2,0
标准,biāozhǔn:standard,HSK level 2,0
表达,biǎodá:couch,HSK level 2,0
表面,biǎomiàn:surface,HSK level 2,0
表明,biǎomíng:discovery,HSK level 2,0
宾馆,bīnguǎn:guesthouse,HSK level 2,0
冰,bīng:ice,HSK level 2,0
饼干,bǐnggān:cooky,HSK level 2,0
并,bìng:to combine,HSK level 2,0
并,bìng:to combine,HSK level 2,0
病房,bìngfáng:sickroom,HSK level 2,0
病菌,bìngjūn:harmful bacteria,HSK level 2,0
并且,bìngqiě:and,HSK level 2,0
病人,bìngrén:patient,HSK level 2,0
玻璃,bōli:glass,HSK level 2,0
伯伯,bóbo:fathers elder brother,HSK level 2,0
伯母,bómǔ:wife of fathers elder brother,HSK level 2,0
脖子,bózi:neck,HSK level 2,0
不少,búshǎo:not just a few,HSK level 2,0
捕,bǔ:to catch,HSK level 2,0
补,bǔ:to repair,HSK level 2,0
补课,bǔkè:make up a missed lesson,HSK level 2,0
补习,bǔxí:to study extracurricularly,HSK level 2,0
步,bù:step,HSK level 2,0
部,bù:ministry,HSK level 2,0
不必,bùbì:need not,HSK level 2,0
不大,bùdà:not big,HSK level 2,0
不得不,bùdébù:to have no choice but,HSK level 2,0
不得了,bùdéliǎo:desperately serious,HSK level 2,0
不断,bùduàn:unceasingly,HSK level 2,0
部队,bùduì:army,HSK level 2,0
